year	clipa	grid	dev_desc	species	strainname	nostocked	yreq	events
2004	23	0625	Yearling	lake trout	Iroquois Bay	3896	3896	1
2004	23	0628	Yearling	lake trout	Iroquois Bay	117184	117184	5
2004	23	0831	Yearling	lake trout	Michipicoten	30332	30332	1
2004	23	0927	Yearling	lake trout	Lake Manitou	12116	12116	1
2004	23	0933	Yearling	lake trout	Michipicoten	103386	103386	2
2004	23	0935	Yearling	lake trout	Michipicoten	39933	39933	1
2004	23	1244	Yearling	lake trout	Big Sound	61958	61958	2
2004	23	1246	Yearling	lake trout	Big Sound	123764	123764	4
2004	23	1330	Yearling	lake trout	Michipicoten	179262	179262	9
2004	23	1331	Yearling	lake trout	Michipicoten	84667	84667	3
2004	23	1535	Yearling	lake trout	Slate Island	85621	85621	2
2004	23	1636	Yearling	lake trout	Slate Island	65039	65039	2
2004	23	1939	Yearling	lake trout	Slate Island	87751	87751	2
2004	23	2143	Yearling	lake trout	Big Sound	63294	63294	2
2004	23	2143	Yearling	lake trout	Seneca Lake	78286	78286	2
2004	23	2246	Yearling	lake trout	Slate Island	89488	89488	3
2004	23	2730	Yearling	lake trout	Slate Island	93180	93180	3
2004	23	2829	Yearling	lake trout	Slate Island	70746	70746	2
2004	3	1937	Yearling	rainbow trout	Wild	10000	10000	2
2004	4	1952	Yearling	brown trout	Ganaraska River	10050	10050	1
2004	4	2053	Yearling	brown trout	Ganaraska River	4971	4971	1
2004	4	2054	Yearling	brown trout	Ganaraska River	5187	5187	2
2004	4	2250	Yearling	brown trout	Ganaraska River	4971	4971	1
2004	4	2333	Yearling	brown trout	Ganaraska River	14749	14749	1
2004	4	2531	Yearling	brown trout	Ganaraska River	16224	16224	1
2004	5	0430	Yearling	lake trout	Iroquois Bay	9865	9865	5
2004	5	0521	Yearling	lake trout	Big Sound	18444	18444	5
2004	5	0521	Yearling	lake trout	Iroquois Bay	22119	22119	4
2004	5	0620	Yearling	lake trout	Michipicoten	215	215	1
2004	5	0625	Yearling	lake trout	Iroquois Bay	1092	1092	1
2004	5	0628	Yearling	lake trout	Iroquois Bay	10634	10634	2
2004	5	0831	Yearling	lake trout	Michipicoten	4413	4413	1
2004	5	0933	Yearling	lake trout	Michipicoten	15039	15039	2
2004	5	0935	Yearling	lake trout	Michipicoten	5809	5809	1
2004	5	1244	Yearling	lake trout	Big Sound	13292	13292	2
2004	5	1246	Yearling	lake trout	Big Sound	26550	26550	4
2004	5	1330	Yearling	lake trout	Michipicoten	10434	10434	1
2004	5	1349	Yearling	lake trout	Big Sound	5006	5006	1
2004	5	1535	Yearling	lake trout	Slate Island	9979	9979	2
2004	5	1939	Yearling	lake trout	Slate Island	9985	9985	2
2004	5	2043	Yearling	lake trout	Big Sound	29818	29818	1
2004	5	2143	Yearling	lake trout	Seneca Lake	28374	28374	1
2004	5	2246	Yearling	lake trout	Slate Island	10859	10859	1
2004	5	2730	Yearling	lake trout	Slate Island	62548	62548	2
2005	0	0330	Fingerling	walleye	Wild	12000	4800	1
2005	0	0513	Fingerling	chinook salmon	Wild	40000	16000	1
2005	0	0521	Fingerling	chinook salmon	Wild	50000	20000	1
2005	0	0528	Fingerling	walleye	Wild	104500	41800	1
2005	0	0729	Fingerling	walleye	Wild	11500	4600	1
2005	0	1532	Fry	rainbow trout	Wild	25000	500	1
2005	0	1551	Fingerling	walleye	Moon River	1780	712	1
2005	0	1551	Fingerling	walleye	Wild	40	16	1
2005	0	1736	Fingerling	rainbow trout	Wild	15000	6000	1
2005	0	1835	Fingerling	chinook salmon	Wild	5558	2223	1
2005	0	1835	Yearling	brown trout	Ganaraska River	3000	3000	1
2005	0	1937	Fingerling	brown trout	Ganaraska River	23044	9218	1
2005	0	1937	Fingerling	chinook salmon	Wild	9000	3600	1
2005	0	1937	Fingerling	rainbow trout	Wild	31000	12400	4
2005	0	2040	Yearling	brown trout	Ganaraska River	24287	24287	1
2005	0	2135	Fingerling	chinook salmon	Wild	11136	4454	1
2005	0	2135	Fingerling	rainbow trout	Wild	10000	4000	1
2005	0	2135	Yearling	brown trout	Ganaraska River	6000	6000	2
2005	0	2139	Fingerling	chinook salmon	Wild	80000	32000	1
2005	0	2139	Yearling	brown trout	Ganaraska River	24673	24673	1
2005	0	2140	Yearling	brown trout	Ganaraska River	24300	24300	1
2005	0	2234	Fingerling	chinook salmon	Wild	42221	16888	1
2005	0	2234	Fry	rainbow trout	Wild	98700	1974	4
2005	0	2234	Yearling	brown trout	Ganaraska River	9000	9000	3
2005	0	2248	Yearling	brown trout	Ganaraska River	9547	9547	1
2005	0	2250	Juvenile	brown trout	Ganaraska River	6293	6293	1
2005	0	2334	Adult	rainbow trout	Domestic/Aquaculture	25	25	1
2005	0	2432	Yearling	brown trout	Ganaraska River	19810	19810	6
